Game Date,Game Time,Elapsed Time,Reason,Score,Accuracy,Asteroids Hit
Game Date,Game Time,Elapsed Time,Reason,Score,Accuracy,Asteroids Hit
2024-06-10,23:36:42,4.38,Player Quit,98,1.0,1
2024-06-11,02:08:44,22.63,Spacecraft Fuel 0,1814,0.44,19
2024-06-11,10:06:29,57.01,Player Quit,1920,0.5,20
2024-06-11,10:10:06,29.6,Player Quit,1160,0.6,12
2024-06-11,10:12:01,71.32,Spacecraft Health 0,3992,0.18,45
2024-06-11,10:17:01,54.78,Player Quit,2008,0.46,21
2024-06-11,10:18:24,11.18,Spacecraft Fuel 0,1144,0.43,12
2024-06-11,10:18:44,36.96,Player Quit,2314,0.56,24
2024-06-11,10:19:56,51.73,Player Quit,3922,0.3,42
2024-06-11,10:52:48,58.29,Spacecraft Health 0,3494,0.36,37
2024-06-11,10:53:54,47.08,Spacecraft Fuel 0,2558,0.38,27
2024-06-11,11:01:17,70.75,Spacecraft Health 0,3980,0.38,42
2024-06-11,11:03:41,38.61,Spacecraft Health 0,1454,0.65,15
2024-06-11,11:06:06,58.82,Spacecraft Fuel 0,2056,0.95,21
2024-06-11,11:10:14,4.1,Player Quit,0,0,0
2024-06-11,11:10:56,12.63,Player Quit,0,0,0
2024-06-11,11:12:34,9.08,Player Quit,0,0,0
2024-06-11,11:13:22,5.08,Player Quit,0,0,0
2024-06-11,11:15:49,10.58,Player Quit,0,0,0
2024-06-11,11:19:56,43.9,Player Quit,3224,0.39,34
2024-06-11,11:21:33,8.66,Player Quit,0,0,0
2024-06-11,11:21:54,4.46,Player Quit,0,0,0
2024-06-11,11:22:17,6.02,Player Quit,0,0,0
2024-06-11,11:22:30,18.91,Player Quit,766,0.47,8
2024-06-11,11:26:11,8.24,Player Quit,0,0,0
2024-06-11,11:26:27,17.59,Player Quit,0,0,0
2024-06-11,11:28:10,53.03,Spacecraft Health 0,0,0,0
2024-06-11,23:32:47,60.22,Spacecraft Fuel 0,3474,0.33,37
